Actor,Character
Jacek Koman,Middleman
Shannon Purser,Sierra
Kristine Froseth,Veronica
RJ Cyler,Dan
Noah Centineo,Jamey
Dylan McDermott,Roy
Penelope Ann Miller,Denise
Kristen Stewart,Jess
John Corbett,Burwell
Shia LaBeouf,James
Lucas Hedges,Otis (22
Noah Jupe,Otis (12
Byron Bowers,Percy
Reese Witherspoon,Debbie Dunn
Ashton Kutcher,Peter Coleman
Zoë Chao,Minka
Jesse Williams,Theo Martin
Jude Law,Robinson
Scoot McNairy,Daniels
Ben Mendelsohn,Fraser
David Threlfall,Peters
Anthony Hopkins,Ted Brautigan
Anton Yelchin,Bobby Garfield
Hope Davis,Liz Garfield
Mika Boorem,Carol Gerber
Emma Thompson,Katherine Newbury
Mindy Kaling,Molly Patel
John Lithgow,Walter Lovell
Hugh Dancy,Charlie Fain
Günes Sensoy,Lale
Doga Zeynep Doguslu,Nur
Tugba Sunguroglu,Selma
Elit Iscan,Ece
Shah Rukh Khan,Maj. Ram Prasad Sharma
Sushmita Sen,Chandni Chopra
Suniel Shetty,Raghavan Datta
Zayed Khan,Laxman Prasad Sharma
Amandla Stenberg,Starr Carter
Regina Hall,Lisa Carter
Russell Hornsby,Maverick 'Mav' Carter
Anthony Mackie,King
Will Ferrell,Phil Weston
Robert Duvall,Buck Weston
Josh Hutcherson,Bucky Weston
Mike Ditka,Mike Ditka
Mandy Moore,Anna Foster
Matthew Goode,Ben Calder
Mark Harmon,President James Foster
Stark Sands,Grant Hillman
Jang Dong-gun,Lee Jin-tae
Won Bin,Lee Jin-seok
Lee Eun-ju,Kim Young-shin
Gong Hyung-jin,Yong-man
Ranveer Singh,Kapil Dev
Deepika Padukone,Romi Dev
Tahir Raj Bhasin,Sunil Gavaskar
Jiiva,Krishnamachari Srikkanth
Willem Dafoe,Vincent van Gogh
Rupert Friend,Theo van Gogh
Oscar Isaac,Paul Gauguin
Mads Mikkelsen,Priest
Kate Beckinsale,Carrie Stetko
Gabriel Macht,Robert Pryce
Tom Skerritt,Dr. John Fury
Columbus Short,Delfy
Sally Hawkins,Poppy
Alexis Zegerman,Zoe
Samuel Roukin,Tim
Elliot Cowan,Bookshop Assistant
Eric Bana,Addison
Olivia Wilde,Liza
Charlie Hunnam,Jay
Sissy Spacek,June Mills
Annette Bening,Diana Nyad
Jodie Foster,Bonnie Stoll
Anne Marie Kempf,Candace
Carolyn McCormick,Elise
Hu Chen,'Tiger' Chen Lin Hu
Keanu Reeves,Donaka Mark
Karen Mok,Inspector Suen Jing Si
Hai Yu,Master Yang
Quvenzhané Wallis,Annie
Cameron Diaz,Hannigan
Jamie Foxx,Will Stacks
Rose Byrne,Grace
Hugh Jackman,Wyatt Bose
Ewan McGregor,Jonathan McQuarry
Michelle Williams,S
Bruce Altman,Lawyer #1
Josh Duhamel,Alex
Melissa George,Pru
Olivia Wilde,Bea
Desmond Askew,Finn
Jason Schwartzman,Ross
John Leguizamo,Spider Mike
Patrick Fugit,Frisbee
Brittany Murphy,Nikki
Regina Hall,Ryan Pierce
Queen Latifah,Sasha Franklin
Jada Pinkett Smith,Lisa Cooper
Tiffany Haddish,Dina
Danny Dyer,Steve
Laura Harris,Maggie
Tim McInnerny,Richard
Toby Stephens,Harris
Brad Renfro,Marty Puccio
Nick Stahl,Bobby Kent
Bijou Phillips,Ali Willis
Rachel Miner,Lisa Connelly
Jeffrey Wright,Russell Core
Alexander Skarsgård,Vernon Slone
James Badge Dale,Donald Marium
Riley Keough,Medora Slone
Salman Khan,Bhaijaan
Pooja Hegde,Bhagyalaxmi Gundapeneni
Venkatesh Daggubati,Balkrishna Gundapenneni
Jagapathi Babu,Nageshwar Kodathi
Robin Williams,Lance
Daryl Sabara,Kyle Clayton
Morgan Murphy,Morgan
Naomi Glick,Ginger
Bill Nighy,Victor Maynard
Emily Blunt,Rose
Rupert Grint,Tony
Rupert Everett,Ferguson
Dwayne Johnson,Boxer Santaros/Jericho Cane
Sarah Michelle Gellar,Krysta Kapowski/Krysta Now
Seann William Scott,Roland Taverner/Ronald Taverner
Carlos Amezcua,Self
Elijah Wood,Frank
Nora Arnezeder,Anna
America Olivo,Frank's Mother
Megan Duffy,Lucie
Adam Bousdoukos,Zinos Kazantsakis
Moritz Bleibtreu,Illias Kazantsakis
Pheline Roggan,Nadine Krüger
Anna Bederke,Lucia Faust
Pooja Kumar,Dr. Nirupama
Miles Anderson,John Dawkins
Kamal Haasan,Vishwanathan/Wisam Ahmed Kashmiri
Rahul Bose,Omar Qureshi
Zac Efron,Cole
Wes Bentley,James
Emily Ratajkowski,Sophie
Jonny Weston,Mason
Stephen Spinella,Lieutenant Chad
Roxane Mesquida,Sheila
Wings Hauser,Man in Wheelchair
Jack Plotnick,Accountant
Brendan Fraser,DJ Drake/Brendan Fraser/Voice of Tasmanian Devil and She-Devil
Jenna Elfman,Kate
Steve Martin,Mr. Chairman
Heather Locklear,Dusty Tails
Denzel Washington,Macbeth
Frances McDormand,Lady Macbeth
Alex Hassell,Ross
Bertie Carvel,Banquo
Noomi Rapace,Maria
Hilmir Snær Guðnason,Ingvar
Björn Hlynur Haraldsson,Pétur
Ingvar Sigurdsson,Man on Television
Akio Ôtsuka,Batou
Atsuko Tanaka,Major Motoko Kusanagi
Tamio Ôki,Section 9 Department Chief Aramaki
Kôichi Yamadera,Togusa
Frankie Muniz,Jason Shepherd
Amanda Bynes,Kaylee
Paul Giamatti,Marty Wolf
Amanda Detmer,Monty Kirkham
Mandy Moore,Sadie Jones
John Krasinski,Ben Murphy
Robin Williams,Reverend Frank
Eric Christian Olsen,Carlisle
Justin Long,Alvin
Matthew Gray Gubler,Simon
Jesse McCartney,Theodore
Jason Lee,Dave
Barbra Streisand,Joyce Brewster
Seth Rogen,Andrew Brewster
Julene Renee,K-Mart Receptionist
Zabryna Guevara,K-Mart Executive
Gerard Butler,Bob Viddick
Frank Grillo,Teddy Murretto
Alexis Louder,Valerie Young
Toby Huss,Anthony Lamb
Josh Radnor,Jesse Fisher
Elizabeth Olsen,Zibby
Zac Efron,Nat
Elizabeth Reaser,Ana
Chloë Grace Moretz,Kayla
Michael Peña,Terence
Colin Jost,Ben
Tom,Tom
Chase Williamson,Dave
Rob Mayes,John
Paul Giamatti,Arnie Blondestone
Clancy Brown,Dr. Albert Marconi
Freddie Highmore,Astro/Toby
Nicolas Cage,Dr. Tenma
Kristen Bell,Cora
Charlize Theron,'Our Friends' Narrator
Nicolas Cage,The Janitor
Emily Tosta,Liv
Beth Grant,Sheriff Lund
Ric Reitz,Tex Macadoo
Jennifer Aniston,Sandy
Kate Hudson,Jesse
Julia Roberts,Miranda Collins
Jason Sudeikis,Bradley
Diane Lane,Erin
Leelee Sobieski,Ruby
Stellan Skarsgård,Terry
Bruce Dern,Begleiter
Diane Keaton,Daphne Wilder
Mandy Moore,Milly Wilder
Gabriel Macht,Johnny
Tom Everett Scott,Jason
Martina Gedeck,Ulrike Meinhof
Moritz Bleibtreu,Andreas Baader
Johanna Wokalek,Gudrun Ensslin
Bruno Ganz,Horst Herold
Vivianne Bánovits,Réka
András Mózes,Nándi
Barna Bokor,Endre
Gabriella Gubás,Klára
Jean-Claude Van Damme,JCVD
Valérie Bodson,Veuve Film Budapest
Hervé Sogne,Lieutenant Smith
Rock Chen,Réalisateur asiatique
Stellan Skarsgård,Father Merrin
Izabella Scorupco,Sarah
James D'Arcy,Father Francis
Remy Sweeney,Joseph
Kevin Costner,Joe Darrow
Susanna Thompson,Emily Darrow
Joe Morton,Hugh Campbell
Ron Rifkin,Charlie Dickinson
Donald Sutherland,Mr. Harrigan
Jaeden Martell,Craig
Joe Tippett,Craig's Dad
Colin O'Brien,Young Craig
Matthew McConaughey,Ward Jansen
Nicole Kidman,Charlotte Bless
John Cusack,Hillary Van Wetter
Zac Efron,Jack Jansen
Rainn Wilson,Fish
Josh Gad,Matt
Christina Applegate,Kim
Teddy Geiger,Curtis
Melissa McCarthy,Deanna
Matt Walsh,Dan
Molly Gordon,Maddie
Ben Falcone,Uber Driver
Kevin Costner,Enzo
Milo Ventimiglia,Denny
Jackie Minns,Mrs. Spangle
Marcus Hondro,Mr. Spangle
Steve Coogan,Stan Laurel
John C. Reilly,Oliver Hardy
Shirley Henderson,Lucille Hardy
Nina Arianda,Ida Kitaeva Laurel
Honor Kneafsey,Robyn Goodfellowe
Eva Whittaker,Mebh Óg MacTíre
Sean Bean,Bill Goodfellowe
Simon McBurney,Lord Protector
Matthew Broderick,Despereaux
Emma Watson,Princess Pea
Dustin Hoffman,Roscuro
Tracey Ullman,Miggery Sow
Josephine Langford,Tessa
Hero Fiennes Tiffin,Hardin
Dylan Sprouse,Trevor
Louise Lombard,Trish
Joaquin Phoenix,Johnny
Gaby Hoffmann,Viv
Woody Norman,Jesse
Scoot McNairy,Paul
Dan Stevens,Charlie
Alison Brie,Michelle
Sheila Vand,Mina
Jeremy Allen White,Josh
Steve Coogan,Tony Wilson
Lennie James,Alan Erasmus
John Thomson,Charles
Paul Popplewell,Paul Ryder
Kate Beckinsale,Rachel Armstrong
Matt Dillon,Patton Dubois
Vera Farmiga,Erica Van Doren
Angela Bassett,Bonnie Benjamin
Antonio Banderas,Mario Sepúlveda
Rodrigo Santoro,Laurence Golborne
Juliette Binoche,María Segovia
James Brolin,Jeff Hart
Sridevi,Shashi Godbole
Adil Hussain,Satish Godbole
Mehdi Nebbou,Laurent
Priya Anand,Radha
Matt Damon,Steve Butler
Frances McDormand,Sue Thomason
John Krasinski,Dustin Noble
Hal Holbrook,Frank Yates
Sam Worthington,Mack Phillips
Octavia Spencer,Papa
Tim McGraw,Willie
Radha Mitchell,Nan Phillips
Elle Fanning,Violet
Justice Smith,Finch
Alexandra Shipp,Kate
Kelli O'Hara,Sheryl
Beata Fido,Dziennikarka Nina
Maciej Póltorak,Mateusz Operator
Aldona Struzik,General's wife
Lech Lotocki,President
Eden Dambrine,Leo
Gustav De Waele,Remi
Émilie Dequenne,Sophie
Léa Drucker,Nathalie
Henry Cavill,Will
Bruce Willis,Martin
Sigourney Weaver,Carrack
Verónica Echegui,Lucia
Ben Affleck,Danny Rourke
Alice Braga,Diana Cruz
JD Pardo,Randy Nicks
Dayo Okeniyi,River
Zoë Kravitz,Angela Childs
Byron Bowers,Terry Hughes
Rita Wilson,Natalie Chowdhury
Erika Christensen,Samantha Gerrity
Will Ferrell,Sherlock Holmes
John C. Reilly,Dr. Watson
Ralph Fiennes,Professor James Moriarty
Rebecca Hall,Grace Hart
Mark Webber,Elliot Brindle
Devon Graye,Michael Brindle
Tom Bower,Father
Rutina Wesley,Shelby
Jessica Chastain,Tammy Faye Bakker
Andrew Garfield,Jim Bakker
Cherry Jones,Rachel Grover
Vincent D'Onofrio,Jerry Falwell
Felicity Jones,Ruth Bader Ginsburg
Armie Hammer,Martin Ginsburg
Justin Theroux,Mel Wulf
Sam Waterston,Erwin Griswold
Harrison Ford,Sgt. Joe Gavilan
Josh Hartnett,Det. K.C. Calden
Isaiah Washington,Antoine Sartain
Lena Olin,Ruby
Penn Badgley,Michael Harding
Dylan Walsh,David Harris
Sela Ward,Susan Harding
Amber Heard,Kelly Porter
Colin Woodell,Matias
Stephanie Nogueras,Amaya
Betty Gabriel,Nari
Rebecca Rittenhouse,Serena
Ed Helms,Tim Lippe
John C. Reilly,Dean Ziegler
Anne Heche,Joan Ostrowski-Fox
Isiah Whitlock Jr.,Ronald Wilkes
Robin Williams,Dan
John Travolta,Charlie
Seth Green,Craig
Kelly Preston,Vicki
Emma Thompson,Nancy Stokes
Daryl McCormack,Leo Grande
Isabella Laughland,Becky
Les Mabaleka,Delivery Person
Tom Welling,Nick Castle
Maggie Grace,Elizabeth Williams
Selma Blair,Stevie Wayne
DeRay Davis,Spooner
Isabelle Huppert,Greta Hideg
Chloë Grace Moretz,Frances McCullen
Maika Monroe,Erica Penn
Jane Perry,Animal Shelter Worker
Rose Byrne,Nat
Rafe Spall,Josh
Alex Macqueen,Minister
Stephen Merchant,Danny
Vijay Sethupathi,Ramachandran 'Ram' Krishnamoorthy
Trisha Krishnan,Janaki 'Janu' Devi Sugumar
Adithya Bhaskar,Young Ramachandran 'Ram' Krishnamoorthy
Gouri Kishan,Young Janaki 'Janu' Devi Sugumar
Steve Martin,Peter Sanderson
Queen Latifah,Charlene Morton
Eugene Levy,Howie Rottman
Joan Plowright,Virginia Arness
Joey King,Wren
Julia Goldani Telles,Hallie
Jaz Sinclair,Chloe
Annalise Basso,Katie
Halle Berry,Karla Dyson
Sage Correa,Frankie
Chris McGinn,Margo
Lew Temple,Terry
Joey King,Elle Evans
Joel Courtney,Lee Flynn
Jacob Elordi,Noah Flynn
Molly Ringwald,Mrs. Flynn
Joseph Vijay,Vijay Rajendran
Rashmika Mandanna,Divya
Shaam,Ajay Rajendran
Prabhu,Doctor
Jennifer Lopez,Darcy Rivera
Josh Duhamel,Tom Fowler
Lenny Kravitz,Sean Hawkins
Jennifer Coolidge,Carol Fowler
Jessica Chastain,Mace/Mason Browne
Penélope Cruz,Graciela Rivera
Bingbing Fan,Lin Mi Sheng
Diane Kruger,Marie Schmidt
Emmanuel Garijo,The Father
Tom Hudson,The Son (young adult
Baptiste Goy,The Son (child
Axel Devillers,The Baby
Liam Hemsworth,Adam Cassidy
Gary Oldman,Nicolas Wyatt
Harrison Ford,Jock Goddard
Amber Heard,Emma Jennings
Aaron Taylor-Johnson,John
Kristin Scott Thomas,Mimi
Anne-Marie Duff,Julia
David Threlfall,Uncle George
Ben Stiller,Roger Greenberg
Greta Gerwig,Florence Marr
Jennifer Jason Leigh,Beth - Beller's Party
Rhys Ifans,Ivan Schrank
Jasna Djuricic,Aida Selmanagic
Izudin Bajrovic,Nihad Selmanagic
Boris Ler,Hamdija Selmanagic
Dino Bajrovic,Sejo Selmanagic
Hiroki Hasegawa,Rando Yaguchi
Yutaka Takenouchi,Hideki Akasaka
Satomi Ishihara,Kayoko Ann Patterson
Ren Ôsugi,Prime Minister Seiji Okochi
Sheila Vand,The Girl
Arash Marandi,Arash
Marshall Manesh,Hossein 'The Junkie'
Mozhan Navabi,Atti 'The Prostitute'
Shah Rukh Khan,Raj/Kaali
Kajol,Meera Malik
Varun Dhawan,Veer
Kriti Sanon,Ishita Malik
Yilmaz Erdogan,Deli Emin
Demet Akbag,Siti Ana
Altan Erkekli,Nazmi
Cem Yilmaz,Fikri
Michael Keaton,Rembrandt
Maggie Q,Anna
Samuel L. Jackson,Moody
David Rintoul,Edward Hayes
Gene Hackman,Joe Moore
Rebecca Pidgeon,Fran Moore
Danny DeVito,Mickey Bergman
Delroy Lindo,Bobby 'Bob' Blane
Laurence Fishburne,Thrax
Chris Rock,Osmosis Jones
David Hyde Pierce,Drix
Brandy Norwood,Leah
Salman Khan,Tiger
Katrina Kaif,Zoya
Girish Karnad,Shenoy
Ranvir Shorey,Gopi
Tommy Lee Jones,Samuel Jones
Cate Blanchett,Magdalena Gilkeson
Evan Rachel Wood,Lilly Gilkeson
Jenna Boyd,Dot Gilkeson
Geoffrey Giuliano,Hong Kong Boss
John D. Michaels,Evacuation Boat Captain
Gang Dong-won,Jung Seok
Koo Kyo-hwan,Captain Seo
Tony Jaa,Kham
Nathan Jones,T.K.
Xing Jin,Madame Rose
Phetthai Vongkumlao,Mark
Ranveer Singh,Peshwa Bajirao Ballal
Deepika Padukone,Mastani
Priyanka Chopra Jonas,Kashibai
Tanvi Azmi,Radha Maa
Halil Söyletmez,Cumali Ceber
Doga Konakoglu,Cevher
Emre Keskin,Cüneyt
Ceyda Saltadal,Basak
Noomi Rapace,Alice Racine
Orlando Bloom,Jack Alcott
Toni Collette,Emily Knowles
John Malkovich,Bob Hunter
Liev Schreiber,Vincent Campbell
Elias Koteas,Charles Brunel
Romola Garai,Rebecca Lane
Olivia Williams,Kim Aldrich
Joseph Vijay,Vetrimaaran/Maaran/Vetri
Nithya Menen,Aishwarya Vetrimaaran
S.J. Suryah,Dr. Daniel Arokyaraj
Samantha Ruth Prabhu,Tara
Tim Blake Nelson,Henry
Scott Haze,Curry
Gavin Lewis,Wyatt
Trace Adkins,Al
Brie Larson,Jeannette
Woody Harrelson,Rex
Naomi Watts,Rose Mary
Ella Anderson,Young Jeannette
Paz Vega,Lucía
Tristán Ulloa,Lorenzo
Najwa Nimri,Elena
Elena Anaya,Belén
Johnny Knoxville,Steve Barker
Katherine Heigl,Lynn Sheridan
Brian Cox,Gary Barker
Jed Rees,Glen
Paris Hilton,Cristabel Abbott
Joel David Moore,Nate Cooper
Christine Lakin,June Phigg
Johann Urb,Johann Wulrich
Robert De Niro,Benjamin Ford
John Travolta,Emil Kovac
Milo Ventimiglia,Chris Ford
Liz Olin,Sarah Ford
Zach Braff,Aidan Bloom
Joey King,Grace Bloom
Pierce Gagnon,Tucker Bloom
Kate Hudson,Sarah Bloom
Andrew Garfield,Jack Burridge
Peter Mullan,Terry
Shaun Evans,Chris
Siobhan Finneran,Kelly
Cem Yilmaz,Aziz Vefa
Ozan Güven,Lemi Galip
Demet Evgar,Suzan Van Dyke
Özkan Ugur,Kizilkayalar
Varun Dhawan,Kukoo Saini
Anil Kapoor,Bheem Saini
Kiara Advani,Naina Sharma
Neetu Singh,Geeta Saini
Joseph Vijay,Jagadish Dhanapal
Kajal Aggarwal,Nisha
Vidyut Jammwal,Sleeper cell's leader
Sathyan,Balaji
Jennifer Aniston,Claire Bennett
Adriana Barraza,Silvana
Anna Kendrick,Nina Collins
Sam Worthington,Roy Collins
Andrew Garfield,Dennis Nash
Michael Shannon,Rick Carver
Laura Dern,Lynn Nash
Clancy Brown,Mr. William Freeman
Irrfan Khan,Ashwin Kumar
Konkona Sen Sharma,Nutan Tandon
Neeraj Kabi,Ramesh Tandon
Sohum Shah,ACP Vedant Mishra
Denzel Washington,Dr. Jerome Davenport
Derek Luke,Antwone Fisher
Joy Bryant,Cheryl Smolley
Malcolm David Kelley,Antwone Fisher Age 7
Lauren German,Eva
Michael Biehn,Mickey
Milo Ventimiglia,Josh
Courtney B. Vance,Delvin
Amit Sadh,Omi Shastri
Sushant Singh Rajput,Ishaan Bhatt
Rajkummar Rao,Govind
Amrita Puri,Vidya Bhatt
Leticia Dolera,Clara
Diego Martín,Koldo
Ismael Martínez,Rafa
Àlex Monner,Adrián
Laura Linney,Wendy Savage
Philip Seymour Hoffman,Jon Savage
Philip Bosco,Lenny Savage
Peter Friedman,Larry
Evan McGuire,Brendan
Brendan Gleeson,Abbot Cellach
Mick Lally,Aidan
Christen Mooney,Aisling
B.J. Novak,Ben Manalowitz
Boyd Holbrook,Ty Shaw
Lio Tipton,Abilene Shaw
Ashton Kutcher,Quentin Sellers
Marine Vacth,Isabelle
Géraldine Pailhas,Sylvie
Frédéric Pierrot,Patrick
Fantin Ravat,Victor
Jonathan Cherry,Rudy
Tyron Leitso,Simon
Clint Howard,Salish
Ona Grauer,Alicia
Judi Dench,Queen Victoria
Ali Fazal,Abdul Karim
Tim Pigott-Smith,Sir Henry Ponsonby
Penélope Cruz,Laura
Javier Bardem,Paco
Ricardo Darín,Alejandro
Eduard Fernández,Fernando
Debi Derryberry,James 'Jimmy' Isaac Neutron
Rob Paulsen,Carl/Carl's Mom and Dad/Kid in Classroom/Kid
Megan Cavanagh,Mom/VOX
Mark DeCarlo,Dad/Pilot/Arena Guard
Mark Rowley,Finan
Pekka Strang,Anlaf
Zoltán Andrási,Saxon Lookout
Ingrid García Jonsson,Brand
Rajinikanth,Muthuvel Pandian/Tiger
Mohanlal,Mathew
Shivarajkumar,Narasimha
Jackie Shroff,Kamdev
Lizzy Caplan,Carol
Antony Starr,Mark
Cleopatra Coleman,Miss Devine
Woody Norman,Peter
Tom Holland,Cherry
Ciara Bravo,Emily
Jack Reynor,Pills & Coke
Forrest Goodluck,James Lightfoot
Ashley Judd,Agnes White
Michael Shannon,Peter Evans
Harry Connick Jr.,Jerry Goss
Lynn Collins,R.C.
Al Pacino,Shylock
Joseph Fiennes,Bassanio
Lynn Collins,Portia
Jeremy Irons,Antonio
Ayushmann Khurrana,Nakul Kaushik
Neena Gupta,Priyamvada Kaushik
Gajraj Rao,Jeetender Kaushik
Sanya Malhotra,Renee Sharma
Brittany Snow,Donna Keppel
Scott Porter,Bobby
Jessica Stroup,Claire
Dana Davis,Lisa Hines
Johnny Depp,Richard
Rosemarie DeWitt,Veronica
Odessa Young,Olivia
Danny Huston,Peter
Alexander Skarsgård,Leo
Paul Rudd,Cactus Bill
Justin Theroux,Duck
Levi Eisenblätter,Young Leo
Adam Devine,Owen Browning
Pierce Brosnan,Billy McDermott
Ellen Barkin,Lilly McDermott
Nina Dobrev,Parker McDermott
Kate Hudson,Helen Harris
John Corbett,Pastor Dan Parker
Joan Cusack,Jenny Portman
Hayden Panettiere,Audrey Davis
Colin Firth,Ewen Montagu
Matthew Macfadyen,Charles Cholmondeley
Kelly Macdonald,Jean Leslie
Rufus Wright,Lt. Bill Jewell
Luke Wilson,Jack Harris
Giovanni Ribisi,Wayne Beering
Gabriel Macht,Buck Dolby
James Caan,Jerry Haggerty
Anders Danielsen Lie,Anders Behring Breivik
Jonas Strand Gravli,Viljar Hanssen
Jon Øigarden,Geir Lippestad
Maria Bock,Christin Kristoffersen
Tom Rhys Harries,Oliver Alterman
Farhad Bagheri,Parshand
Gerard Butler,Tom Harris
Mitchell LaFortune,SCIF Analyst
Song Kang-ho,Yoon Tae-goo/The Weird
Lee Byung-hun,Park Chang-yi/The Bad
Jung Woo-sung,Park Do-won/The Good
Yun Je-mun,Byung-choon
Irrfan Khan,Paan Singh Tomar
Mahie Gill,Indra Singh Tomar
Rajesh Abhay,Paan Singh Gang's Pehalwan
Hemendra Dandotiya,Gernail Singh
Dave Bautista,JJ
Chloe Coleman,Sophie
Parisa Fitz-Henley,Kate
Kristen Schaal,Bobbi
Hrithik Roshan,Anand Kumar
Mrunal Thakur,Supriya
Nandish Singh Sandhu,Pranav Kumar
Virendra Saxena,Rajendra Kumar (Anand Kumar's father
Morgana O'Reilly,Kylie Bucknell
Rima Te Wiata,Miriam Bucknell
Glen-Paul Waru,Amos
Ross Harper,Graeme
Felicity Jones,Amelia Wren
Eddie Redmayne,James Glaisher
Himesh Patel,John Trew
Vincent Perez,Pierre Rennes
DJ Qualls,Dizzy
Lyle Lovett,Bear
Eliza Dushku,Danielle
Zooey Deschanel,Nora
Hayden Christensen,Stephen Glass
Chloë Sevigny,Caitlin Avey
Steve Zahn,Adam Penenberg
Peter Sarsgaard,Charles 'Chuck' Lane
Kit Young,Rafal/Rhian
Sophia Anne Caruso,Sophie
Cate Blanchett,The Storian
Liam Woon,Footman
Michael C. Hall,Dane
Sam Shepard,Russel
Don Johnson,Jim Bob
Vinessa Shaw,Ann
Mackenzie Foy,Clara
Keira Knightley,Sugar Plum
Morgan Freeman,Drosselmeyer
Helen Mirren,Mother Ginger
Danielle Macdonald,Willowdean
Jennifer Aniston,Rosie
Odeya Rush,Ellen
Maddie Baillio,Millie
Elliot Page,Sylvia Likens
Hayley McFarland,Jennie Likens
Nick Searcy,Lester Likens
Romy Rosemont,Betty Likens
Zachary Gordon,Greg Heffley
Devon Bostick,Rodrick Heffley
Robert Capron,Rowley Jefferson
Rachael Harris,Susan Heffley
Gijs Blom,Marinus van Staveren
Jamie Flatters,William Sinclair
Susan Radder,Teuntje Visser
Jan Bijvoet,Doctor Visser
Jamie Foxx,Willie Gary
Tommy Lee Jones,Jeremiah O'Keefe
Jurnee Smollett,Mame Downes
Alan Ruck,Mike Allred
Ann Dowd,Sandra
Dreama Walker,Becky
Pat Healy,Officer Daniels
Bill Camp,Van
Rebecca Romijn,Laure/Lily
Antonio Banderas,Nicolas Bardo
Peter Coyote,Watts
Eriq Ebouaney,Black Tie
Robert Redford,Thomas
Mary Steenburgen,Interviewer
Brian McCarthy,Sound Recordist
Jason Segel,Will
Russell Brand,E.B. (voice
James Marsden,Fred O'Hare
Elizabeth Perkins,Bonnie O'Hare
Kaley Cuoco,Sam O'Hare
Samuel Bottomley,Young Goodman
Deborah Wastell,Mrs Goodman
Amy Doyle,Esther Goodman
Daniel Hill,Mr Goodman
Sydney Sweeney,Pippa
Justice Smith,Thomas
Ben Hardy,Seb
Natasha Liu Bordizzo,Julia
Mike Epps,Carl Black
Zulay Henao,Lorena
Alex Henderson,Carl Jr.
Bresha Webb,Allie
Johnny Depp,Rochester
Samantha Morton,Elizabeth Barry
John Malkovich,Charles II
Paul Ritter,Chiffinch
Sara Paxton,Claire
Pat Healy,Luke
Kelly McGillis,Leanne Rease-Jones
Alison Bartlett,Angry Mom
Deepika Padukone,Padmavati
Ranveer Singh,Sultan Alauddin Khilji
Shahid Kapoor,Maharawal Ratan Singh
Aditi Rao Hydari,Mehrunissa
Amy Schumer,Emily Middleton
Goldie Hawn,Linda Middleton
Kim Caramele,Shopper
Raven Goodwin,Lew
Emma Thompson,Nanny McPhee
Maggie Gyllenhaal,Isabel Green
Ralph Fiennes,Lord Gray
Oscar Steer,Vincent Green
Liam Neeson,Alex Lewis
Guy Pearce,Vincent Serra
Taj Atwal,Linda Amisted
Harold Torres,Hugo Marquez
Hayden Panettiere,Beth Cooper
Paul Rust,Denis Cooverman
Jack Carpenter,Rich Munsch
Lauren London,Cammy
Belén Rueda,Julia Levin/Sara
Lluís Homar,Isaac
Pablo Derqui,Ángel
Francesc Orella,Inspector Dimas
Donnie Yen,Ip Man
Scott Adkins,Barton Geddes
Danny Kwok-Kwan Chan,Bruce Lee
Vanness Wu,Hartman Wu
John Cameron Mitchell,Hedwig
Miriam Shor,Yitzhak
Stephen Trask,Skszp - Band Member
Theodore Liscinski,Jacek - Band Member
Anthony Mackie,Bernard Garrett
Samuel L. Jackson,Joe Morris
Nicholas Hoult,Matt Steiner
Nia Long,Eunice Garrett
Fernanda Andrade,Isabella Rossi
Simon Quarterman,Father Ben Rawlings
Evan Helmuth,Father David Keane
Ionut Grama,Michael Schaefer
James Marsden,Neal Oliver
Gary Oldman,O.W. Grant
Kurt Russell,Captain Ives
Matthew Edison,Quincy
Mads Mikkelsen,Jacob
Sidse Babett Knudsen,Helene
Rolf Lassgård,Jørgen
Neeral Mulchandani,Pramod
Dax Shepard,Yul Perrkins a.k.a. Charles Bronson
Kristen Bell,Annie Bean
Bradley Cooper,Alex Dmitri
Kristin Chenoweth,Debby Kreeger
Matthias Schweighöfer,Sven
Ali Suliman,Ezzat Mardini
James Krishna Floyd,Emad
Alfredo Tavares,Olympic Coach
Kitana Kiki Rodriguez,Sin-Dee
Mya Taylor,Alexandra
